check,passed,evidence
M0 参数符号,True,E、A、B、alpha、beta 均为正
计算量单位一致性,True,C≈6ND 换算后 5% 内比例=99.3197%
Q=1 退化条件,True,回代差=-4.441e-16；B6 来源截距不属于统一结构项
留轨迹分组,True,1176 行预测均由对应 N 整轨迹留出
B8 方向冲突复算,True,复算=0.156371，记录=0.156371
所选模型质量参数等价式回代,True,exp_both Loss 回代差=0.000e+00
IsoFLOP 最优配置质量不变性,True,exp_both 固定 C 时 N* 跨 Q_B 最大差=0.000e+00
IsoFLOP 最优 N 闭式复核,True,受支持域约束的闭式最优与网格搜索最大相对差=0.813%
二阶局部对比与 FDR 口径,True,"各锚点无序对数={'recommended_centroid': 136, 'training_mean': 136}；仅解释为指定路径的模型非加性"
第一问响应面回代,True,与第一问保存的训练预测最大差=3.553e-15
局部替换反对称性,True,最大反对称误差=0.000e+00
图表完整性,True,清单 11 张，缺失=[]
结果文件完整性,True,要求 16 项，缺失=[]
汇总数值有限,True,M0 验证误差与 M1 gamma 均为有限数
跨来源指标纪律,True,未报告 A/B 拼接后的总体 RMSE
第一问质量配比回代,True,17 域重新计算 ΔQ_A=-0.00305163
质量变化部分识别,True,"代理值在 [-0.057492, +0.036224] 内；区间跨零"
缺少标定时拒绝跨标尺预测,True,无成对 Q 标定时接口拒绝将 Q_A 当成 Q_B
A/B 联合验证可识别性,True,当前没有同时含 N、D、Q_B、17 域配比及 Loss 的观测
